word,kana,desc,tags
取り立てる,とりたてる,"to collect, to extort",JLPT_1
取り次ぐ,とりつぐ,"to act as an agent for, to announce (someone), to convey (a message)",JLPT_1
取り付ける,とりつける,"to furnish, to install; to get someone's agreement",JLPT_1
取り除く,とりのぞく,"to remove, to take away, to set apart",JLPT_1
取引,とりひき,"transactions, dealings, business",JLPT_1
取り巻く,とりまく,"to surround, to circle, to enclose",JLPT_1
取り混ぜる,とりまぜる,"to mix, to put together",JLPT_1
取り戻す,とりもどす,"to take back, to regain",JLPT_1
取り寄せる,とりよせる,"to order, to send away for",JLPT_1
ドリル,ドリル,drill,JLPT_1
副,とりわけ,"especially, above all",JLPT_1
とろける,とろける,melt; to be enchanted with,JLPT_1
鈍感,どんかん,"thickheadedness, stolidity",JLPT_1
とんだ,とんだ,"terrible, awful, serious, absolutely not",JLPT_1
度忘れ,どわすれ,"lapse of memory, forget for a moment",JLPT_1
問屋,とんや,wholesale store,JLPT_1
内閣,ないかく,"cabinet, (government)",JLPT_1
乃至,ないし,"from...to, between...and, or",JLPT_1
内緒,ないしょ,"secrecy, privacy, secret",JLPT_1
内心,ないしん,"innermost thoughts, real intention, inmost heart",JLPT_1
内蔵,ないぞう,internal organ; built-in,JLPT_1
ナイター,ナイター,"game under lights (e.g., baseball), night game",JLPT_1
内部,ないぶ,"interior, inside, internal",JLPT_1
内乱,ないらん,"civil war, domestic conflict",JLPT_1
内陸,ないりく,inland,JLPT_1
苗,なえ,rice seedling,JLPT_1
なおさら,なおさら,"all the more, still less",JLPT_1
流し,ながし,sink,JLPT_1
長々,ながなが,"long, drawn-out, very long",JLPT_1
中程,なかほど,"middle, midway",JLPT_1
渚,なぎさ,"water's edge, beach, shore",JLPT_1
嘆く,なげく,"to sigh, to lament, to grieve",JLPT_1
投げ出す,なげだす,"to abandon, to throw out",JLPT_1
仲人,なこうど,"go-between, matchmaker",JLPT_1
和やか,なごやか,"mild, calm, harmonious",JLPT_1
名残,なごり,"remains, traces, memory",JLPT_1
情け,なさけ,"sympathy, compassion",JLPT_1
情無い,なさけない,"miserable, pitiable, shameful",JLPT_1
情深い,なさけぶかい,"tender-hearted, compassionate",JLPT_1
詰る,なじる,"to rebuke, to scold, to tell off",JLPT_1
名高い,なだかい,"famous, celebrated, well-known",JLPT_1
雪崩,なだれ,avalanche,JLPT_1
懐く,なつく,to become emotionally attached,JLPT_1
名付ける,なづける,to name,JLPT_1
何気ない,なにげない,"casual, unconcerned",JLPT_1
なにとぞ,なにとぞ,"please, kindly, by all means",JLPT_1
なにより,なにより,"most, best",JLPT_1
ナプキン,ナプキン,napkin,JLPT_1
名札,なふだ,"name plate, name tag",JLPT_1
生臭い,なまぐさい,"smelling of fish or blood, fish or meat",JLPT_1
生温い,なまぬるい,"lukewarm, halfhearted",JLPT_1
生身,なまみ,"living flesh, flesh and blood, the quick",JLPT_1
鉛,なまり,lead (the metal),JLPT_1
滑らか,なめらか,"smoothness, glassiness",JLPT_1
嘗める,なめる,to lick; to experience; to make fun of,JLPT_1
悩ましい,なやましい,"seductive, melancholy, languid",JLPT_1
悩ます,なやます,"to bother, to harass, to molest",JLPT_1
悩み,なやみ,"trouble(s), worry, distress",JLPT_1 Genki_Ln.19
並びに,ならびに,and,JLPT_1
成り立つ,なりたつ,"to consist of; to be practical (logical, feasible, viable), to be concluded, to hold true",JLPT_1
なるたけ,なるたけ,"as much as possible, if possible",JLPT_1
慣れ,なれ,"practice, experience",JLPT_1
馴々しい,なれなれしい,"familiar, make free with",JLPT_1
～なんか,～なんか,in the least ~,JLPT_1
ナンセンス,ナンセンス,nonsense,JLPT_1
何だか,なんだか,"a little, somewhat, somehow",JLPT_1 Intermediate_Japanese_Ln.11
なんだかんだ,なんだかんだ,something or other,JLPT_1
なんなり,なんなり,"anything, whatever",JLPT_1
荷,に,"load, baggage, cargo",JLPT_1
似通う,にかよう,to resemble closely,JLPT_1
にきび,にきび,"pimple, acne",JLPT_1
賑わう,にぎわう,"to prosper, to flourish, to be crowded with people",JLPT_1
憎しみ,にくしみ,hatred,JLPT_1
肉親,にくしん,"blood relationship, blood relative",JLPT_1
肉体,にくたい,"the body, the flesh",JLPT_1
逃げ出す,にげだす,"to run away, to escape from",JLPT_1
西日,にしび,westering sun,JLPT_1
滲む,にじむ,"to run, to blur, to spread",JLPT_1
にせ物,にせもの,"imitation, counterfeit",JLPT_1
日夜,にちや,"day and night, always",JLPT_1
荷造り,にづくり,"packing, baling, crating",JLPT_1
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun)",JLPT_1
鈍る,にぶる,"to become less capable, to grow dull, to become blunt, to weaken",JLPT_1
にも関わらず,にもかかわらず,"in spite of, nevertheless",JLPT_1
ニュアンス,ニュアンス,nuance,JLPT_1
ニュー,ニュー,new,JLPT_1
入手,にゅうしゅ,"obtaining, coming to hand",JLPT_1
入賞,にゅうしょう,winning a prize or place (in a contest,JLPT_1
入浴,にゅうよく,"bathe, bathing",JLPT_1
尿,にょう,urine,JLPT_1
認識,にんしき,"recognition, cognizance",JLPT_1
妊娠,にんしん,"conception, pregnancy",JLPT_1
任務,にんむ,"duty, mission, task",JLPT_1
任命,にんめい,"appointment, nomination, ordination",JLPT_1
抜かす,ぬかす,"to omit, to leave out",JLPT_1
抜け出す,ぬけだす,"to slip out, to sneak away, to excel",JLPT_1
主,ぬし,"owner, master, god",JLPT_1 Intermediate_Japanese_Ln.13
沼,ぬま,"swamp, bog, pond",JLPT_1
音色,ねいろ,"tone color, timbre",JLPT_1
値打ち,ねうち,"value, worth, price",JLPT_1
ネガ,ネガ,(photographic) negative,JLPT_1
寝かせる,ねかせる,"to put to bed, to lay down, to ferment",JLPT_1
ねじまわし,ねじまわし,screwdriver,JLPT_1
捩れる,ねじれる,"twist, strain",JLPT_1
妬む,ねたむ,"to be jealous, to be envious",JLPT_1
ねだる,ねだる,"to nag, to demand",JLPT_1
熱意,ねつい,"zeal, enthusiasm",JLPT_1
熱湯,ねっとう,boiling water,JLPT_1
熱量,ねつりょう,calorific value,JLPT_1
粘り,ねばり,"stickiness, viscosity",JLPT_1
粘る,ねばる,"to be sticky, to be adhesive, to persist, to stick to",JLPT_1
値引き,ねびき,"price reduction, discount",JLPT_1
根回し,ねまわし,making necessary arrangements,JLPT_1
眠たい,ねむたい,sleepy,JLPT_1
練る,ねる,"to knead, to work over, to polish up",JLPT_1
念,ねん,"sense, feeling, desire",JLPT_1
年賀,ねんが,"New Year's greetings, New Year's card",JLPT_1
念願,ねんがん,"one's heart's desire, earnest petition",JLPT_1
年号,ねんごう,"name of an era, year number",JLPT_1
燃焼,ねんしょう,"burning, combustion",JLPT_1
年長,ねんちょう,seniority,JLPT_1
燃料,ねんりょう,fuel,JLPT_1
年輪,ねんりん,annual tree ring,JLPT_1
ノイローゼ,ノイローゼ,neurosis (GER: Neurose),JLPT_1
農耕,のうこう,"farming, agriculture",JLPT_1
農場,のうじょう,farm,JLPT_1
農地,のうち,agricultural land,JLPT_1
納入,のうにゅう,"payment, supply",JLPT_1
逃す,のがす,"to let loose, to set free, to let escape",JLPT_1
逃れる,のがれる,to escape,JLPT_1
軒並,のきなみ,row of houses; uniformly,JLPT_1
望ましい,のぞましい,"desirable, hoped for",JLPT_1
乗っ取る,のっとる,"to capture, to occupy, to take over",JLPT_1
のどか,のどか,"tranquil, calm, quiet",JLPT_1
罵る,ののしる,"to speak ill of, to abuse",JLPT_1
延べ,のべ,"futures, credit (buying), stretching, total",JLPT_1
飲み込む,のみこむ,"to gulp down, to swallow deeply, to understand",JLPT_1 Intermediate_Japanese_Ln.12
乗り込む,のりこむ,"to board, to get into (a car); to march into, to enter",JLPT_1
