一段动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
高める,たかめる,"to raise, to lift",-,高めない,高めます,高める,高めれば,高めよう,高めて,高めた,高めなかった,高めなれる,高めさせる,高められる,高めろ
蓄える,たくわえる,"to store, to save",-,蓄えない,蓄えます,蓄える,蓄えれば,蓄えよう,蓄えて,蓄えた,蓄えなかった,蓄えなれる,蓄えさせる,蓄えられる,蓄えろ
貯める,ためる,"to save, to accumulate",-,貯めない,貯めます,貯める,貯めれば,貯めよう,貯めて,貯めた,貯めなかった,貯めなれる,貯めさせる,貯められる,貯めろ
倒れる,たおれる,"to fall down, to collapse",-,倒れない,倒れます,倒れる,倒れれば,倒れよう,倒れて,倒れた,倒れなかった,倒れなれる,倒れさせる,倒れられる,倒れろ
足りる,たりる,"to be enough, to suffice",-,足りない,足ります,足りる,足りれば,足りよう,足りて,足りた,足りなかった,足りなれる,足りさせる,足りられる,足りろ
確かめる,たしかめる,to confirm,-,確かめない,確かめます,確かめる,確かめれば,確かめよう,確かめて,確かめた,確かめなかった,確かめなれる,確かめさせる,確かめられる,確かめろ
助ける,たすける,"to help, to save",-,助けない,助けます,助ける,助ければ,助けよう,助けて,助けた,助けなかった,助けなれる,助けさせる,助けられる,助けろ
立てる,たてる,"to stand, to erect",-,立てない,立てます,立てる,立てれば,立てよう,立てて,立てた,立てなかった,立てなれる,立てさせる,立てられる,立てろ
建てる,たてる,to build,-,建てない,建てます,建てる,建てれば,建てよう,建てて,建てた,建てなかった,建てなれる,建てさせる,建てられる,建てろ
尋ねる,たずねる,to ask,-,尋ねない,尋ねます,尋ねる,尋ねれば,尋ねよう,尋ねて,尋ねた,尋ねなかった,尋ねなれる,尋ねさせる,尋ねられる,尋ねろ
