不规则动词,平假名,释义,自他性,否定,丁寧,辞書,条件,意向,て,過去,過去否定,被动,使役,可能,命令
解決する,かいけつする,to solve,-,解決しない,解決します,解決する,解決すれば,解決しよう,解決して,解決した,解決しなかった,解決される,解決させる,解決できる,解決しろ
開催する,かいさいする,to hold/open (an exhibition),-,開催しない,開催します,開催する,開催すれば,開催しよう,開催して,開催した,開催しなかった,開催される,開催させる,開催できる,開催しろ
解散する,かいさんする,"to break up, to dissolve",-,解散しない,解散します,解散する,解散すれば,解散しよう,解散して,解散した,解散しなかった,解散される,解散させる,解散できる,解散しろ
改訂する,かいていする,to revise,-,改訂しない,改訂します,改訂する,改訂すれば,改訂しよう,改訂して,改訂した,改訂しなかった,改訂される,改訂させる,改訂できる,改訂しろ
回転する,かいてんする,"to rotate, to turn",-,回転しない,回転します,回転する,回転すれば,回転しよう,回転して,回転した,回転しなかった,回転される,回転させる,回転できる,回転しろ
回答する,かいとうする,"to answer, to reply",-,回答しない,回答します,回答する,回答すれば,回答しよう,回答して,回答した,回答しなかった,回答される,回答させる,回答できる,回答しろ
会話する,かいわする,to talk,-,会話しない,会話します,会話する,会話すれば,会話しよう,会話して,会話した,会話しなかった,会話される,会話させる,会話できる,会話しろ
解約する,かいやくする,to cancel a contract,-,解約しない,解約します,解約する,解約すれば,解約しよう,解約して,解約した,解約しなかった,解約される,解約させる,解約できる,解約しろ
改善する,かいぜんする,to improve,-,改善しない,改善します,改善する,改善すれば,改善しよう,改善して,改善した,改善しなかった,改善される,改善させる,改善できる,改善しろ
加工する,かこうする,to process,-,加工しない,加工します,加工する,加工すれば,加工しよう,加工して,加工した,加工しなかった,加工される,加工させる,加工できる,加工しろ
拡大する,かくだいする,"to magnify, to enlarge",-,拡大しない,拡大します,拡大する,拡大すれば,拡大しよう,拡大して,拡大した,拡大しなかった,拡大される,拡大させる,拡大できる,拡大しろ
確認する,かくにんする,to confirm,-,確認しない,確認します,確認する,確認すれば,確認しよう,確認して,確認した,確認しなかった,確認される,確認させる,確認できる,確認しろ
歓迎する,かんげいする,to welcome,-,歓迎しない,歓迎します,歓迎する,歓迎すれば,歓迎しよう,歓迎して,歓迎した,歓迎しなかった,歓迎される,歓迎させる,歓迎できる,歓迎しろ
観光する,かんこうする,"to sightsee, to see the sights",-,観光しない,観光します,観光する,観光すれば,観光しよう,観光して,観光した,観光しなかった,観光される,観光させる,観光できる,観光しろ
管理する,かんりする,to manage,-,管理しない,管理します,管理する,管理すれば,管理しよう,管理して,管理した,管理しなかった,管理される,管理させる,管理できる,管理しろ
観察する,かんさつする,to observe,-,観察しない,観察します,観察する,観察すれば,観察しよう,観察して,観察した,観察しなかった,観察される,観察させる,観察できる,観察しろ
完成する,かんせいする,to complete,-,完成しない,完成します,完成する,完成すれば,完成しよう,完成して,完成した,完成しなかった,完成される,完成させる,完成できる,完成しろ
感心する,かんしんする,to admire,-,感心しない,感心します,感心する,感心すれば,感心しよう,感心して,感心した,感心しなかった,感心される,感心させる,感心できる,感心しろ
仮定する,かていする,to suppose,-,仮定しない,仮定します,仮定する,仮定すれば,仮定しよう,仮定して,仮定した,仮定しなかった,仮定される,仮定させる,仮定できる,仮定しろ
活動する,かつどうする,"to act, to be active",-,活動しない,活動します,活動する,活動すれば,活動しよう,活動して,活動した,活動しなかった,活動される,活動させる,活動できる,活動しろ
カットする,カットする,to cut,-,カットしない,カットします,カットする,カットすれば,カットしよう,カットして,カットした,カットしなかった,カットされる,カットさせる,カットできる,カットしろ
経営する,けいえいする,"to manage, to run (a company)",-,経営しない,経営します,経営する,経営すれば,経営しよう,経営して,経営した,経営しなかった,経営される,経営させる,経営できる,経営しろ
経過する,けいかする,"to pass, to elapse",-,経過しない,経過します,経過する,経過すれば,経過しよう,経過して,経過した,経過しなかった,経過される,経過させる,経過できる,経過しろ
計画する,けいかくする,"to design, to plan",-,計画しない,計画します,計画する,計画すれば,計画しよう,計画して,計画した,計画しなかった,計画される,計画させる,計画できる,計画しろ
経験する,けいけする,to experience,-,経験しない,経験します,経験する,経験すれば,経験しよう,経験して,経験した,経験しなかった,経験される,経験させる,経験できる,経験しろ
計算する,けいさんする,to calculate,-,計算しない,計算します,計算する,計算すれば,計算しよう,計算して,計算した,計算しなかった,計算される,計算させる,計算できる,計算しろ
契約する,けいやくする,to contract,-,契約しない,契約します,契約する,契約すれば,契約しよう,契約して,契約した,契約しなかった,契約される,契約させる,契約できる,契約しろ
結婚する,けっこんする,to marry,-,結婚しない,結婚します,結婚する,結婚すれば,結婚しよう,結婚して,結婚した,結婚しなかった,結婚される,結婚させる,結婚できる,結婚しろ
見物する,けんぶつする,to sightsee,-,見物しない,見物します,見物する,見物すれば,見物しよう,見物して,見物した,見物しなかった,見物される,見物させる,見物できる,見物しろ
喧嘩する,けんかする,"to fight, to quarrel",-,喧嘩しない,喧嘩します,喧嘩する,喧嘩すれば,喧嘩しよう,喧嘩して,喧嘩した,喧嘩しなかった,喧嘩される,喧嘩させる,喧嘩できる,喧嘩しろ
研究する,けんきゅうする,to research,-,研究しない,研究します,研究する,研究すれば,研究しよう,研究して,研究した,研究しなかった,研究される,研究させる,研究できる,研究しろ
建設する,けんせつする,"to construct, to build",-,建設しない,建設します,建設する,建設すれば,建設しよう,建設して,建設した,建設しなかった,建設される,建設させる,建設できる,建設しろ
欠席する,けっせきする,to be absent,-,欠席しない,欠席します,欠席する,欠席すれば,欠席しよう,欠席して,欠席した,欠席しなかった,欠席される,欠席させる,欠席できる,欠席しろ
決定する,けっていする,"to determine, to decide",-,決定しない,決定します,決定する,決定すれば,決定しよう,決定して,決定した,決定しなかった,決定される,決定させる,決定できる,決定しろ
帰国する,きこくする,to return to one's country,-,帰国しない,帰国します,帰国する,帰国すれば,帰国しよう,帰国して,帰国した,帰国しなかった,帰国される,帰国させる,帰国できる,帰国しろ
禁煙する,きんえんする,"to stop smoking, to quit smoking",-,禁煙しない,禁煙します,禁煙する,禁煙すれば,禁煙しよう,禁煙して,禁煙した,禁煙しなかった,禁煙される,禁煙させる,禁煙できる,禁煙しろ
記録する,きろくする,to record,-,記録しない,記録します,記録する,記録すれば,記録しよう,記録して,記録した,記録しなかった,記録される,記録させる,記録できる,記録しろ
キスする,キスする,to kiss,-,キスしない,キスします,キスする,キスすれば,キスしよう,キスして,キスした,キスしなかった,キスされる,キスさせる,キスできる,キスしろ
期待する,きたいする,"to expect, to hope",-,期待しない,期待します,期待する,期待すれば,期待しよう,期待して,期待した,期待しなかった,期待される,期待させる,期待できる,期待しろ
コーチする,コーチする,to coach,-,コーチしない,コーチします,コーチする,コーチすれば,コーチしよう,コーチして,コーチした,コーチしなかった,コーチされる,コーチさせる,コーチできる,コーチしろ
攻撃する,こうげきする,to attack,-,攻撃しない,攻撃します,攻撃する,攻撃すれば,攻撃しよう,攻撃して,攻撃した,攻撃しなかった,攻撃される,攻撃させる,攻撃できる,攻撃しろ
講義する,こうぎする,to lecture,-,講義しない,講義します,講義する,講義すれば,講義しよう,講義して,講義した,講義しなかった,講義される,講義させる,講義できる,講義しろ
工事する,こうじする,to construct,-,工事しない,工事します,工事する,工事すれば,工事しよう,工事して,工事した,工事しなかった,工事される,工事させる,工事できる,工事しろ
交換する,こうかんする,"to reciprocate, to exchange",-,交換しない,交換します,交換する,交換すれば,交換しよう,交換して,交換した,交換しなかった,交換される,交換させる,交換できる,交換しろ
